Step,Time,Population
729,0.729000000000001,3.32816319801343
730,0.730000000000001,3.32821481917573
731,0.731000000000001,3.32826592571974
732,0.732000000000001,3.32831652276002
733,0.733000000000001,3.32836661536059
734,0.734000000000001,3.32841620853545
735,0.735000000000001,3.32846530724908
736,0.736000000000001,3.32851391641689
737,0.737000000000001,3.32856204090572
738,0.738000000000001,3.3286096855343
739,0.739000000000001,3.32865685507374
740,0.740000000000001,3.32870355424799
741,0.741000000000001,3.32874978773428
742,0.742000000000001,3.3287955601636
743,0.743000000000001,3.32884087612114
744,0.744000000000001,3.32888574014675
745,0.745000000000001,3.32893015673536
746,0.746000000000001,3.32897413033745
747,0.747000000000001,3.32901766535945
748,0.748000000000001,3.32906076616422
749,0.749000000000001,3.32910343707142
750,0.750000000000001,3.32914568235798
751,0.751000000000001,3.32918750625847
752,0.752000000000001,3.32922891296557
753,0.753000000000001,3.32926990663045
754,0.754000000000001,3.32931049136317
755,0.755000000000001,3.32935067123309
756,0.756000000000001,3.32939045026931
757,0.757000000000001,3.32942983246096
758,0.758000000000001,3.32946882175773
759,0.759000000000001,3.32950742207014
760,0.760000000000001,3.32954563726998
761,0.761000000000001,3.32958347119069
762,0.762000000000001,3.32962092762772
763,0.763000000000001,3.3296580103389
764,0.764000000000001,3.32969472304485
765,0.765000000000001,3.32973106942928
766,0.766000000000001,3.32976705313941
767,0.767000000000001,3.32980267778628
768,0.768000000000001,3.32983794694517
769,0.769000000000001,3.32987286415587
770,0.770000000000001,3.3299074329231
771,0.771000000000001,3.32994165671683
772,0.772000000000001,3.32997553897258
773,0.773000000000001,3.33000908309184
774,0.774000000000001,3.33004229244234
775,0.775000000000001,3.33007517035839
776,0.776000000000001,3.33010772014127
777,0.777000000000001,3.33013994505944
778,0.778000000000001,3.330171848349
779,0.779000000000001,3.33020343321388
780,0.780000000000001,3.33023470282625
781,0.781000000000001,3.33026566032679
782,0.782000000000001,3.330296308825
783,0.783000000000001,3.33032665139953
784,0.784000000000001,3.33035669109846
785,0.785000000000001,3.33038643093961
786,0.786000000000001,3.33041587391085
787,0.787000000000001,3.33044502297036
788,0.788000000000001,3.33047388104698
789,0.789000000000001,3.33050245104044
790,0.790000000000001,3.33053073582169
791,0.791000000000001,3.33055873823315
792,0.792000000000001,3.33058646108901
793,0.793000000000001,3.33061390717554
794,0.794000000000001,3.33064107925128
795,0.795000000000001,3.3306679800474
796,0.796000000000001,3.33069461226794
797,0.797000000000001,3.33072097859004
798,0.798000000000001,3.33074708166429
799,0.799000000000001,3.33077292411488
800,0.800000000000001,3.33079850853998
801,0.801000000000001,3.3308238375119
802,0.802000000000001,3.33084891357741
803,0.803000000000001,3.33087373925795
804,0.804000000000001,3.33089831704989
805,0.805000000000001,3.33092264942481
