Simulation:,Maximum Range
Trajectory,X,Y
Maximum Range,20117.150991724,6754.77070581664
Maximum Range,20145.6057289368,6737.29637013775
Maximum Range,20174.0410903466,6719.73593333112
Maximum Range,20202.4570384731,6702.08948532008
Maximum Range,20230.85353557,6684.3571164972
Maximum Range,20259.2305436251,6666.53891772733
Maximum Range,20287.588024361,6648.63498035074
Maximum Range,20315.9259392348,6630.64539618613
Maximum Range,20344.2442494382,6612.57025753375
Maximum Range,20372.5429158982,6594.40965717849
Maximum Range,20400.8218992767,6576.16368839291
Maximum Range,20429.0811599708,6557.83244494039
Maximum Range,20457.3206581133,6539.41602107822
Maximum Range,20485.5403535724,6520.91451156064
Maximum Range,20513.7402059523,6502.32801164201
Maximum Range,20541.9201745929,6483.65661707988
Maximum Range,20570.0802185703,6464.90042413808
Maximum Range,20598.220296697,6446.05952958986
Maximum Range,20626.3403675219,6427.134030721
Maximum Range,20654.4403893306,6408.1240253329
Maximum Range,20682.5203201453,6389.02961174572
Maximum Range,20710.5801177255,6369.8508888015
Maximum Range,20738.6197395677,6350.58795586729
Maximum Range,20766.6391429058,6331.24091283825
Maximum Range,20794.6382847113,6311.80986014081
Maximum Range,20822.6171216933,6292.29489873578
Maximum Range,20850.575610299,6272.69613012151
Maximum Range,20878.5137067135,6253.013656337
Maximum Range,20906.4313668605,6233.24757996506
Maximum Range,20934.328546402,6213.39800413545
