Simulation:,No Air Resistance
Trajectory,X,Y
Angle 45,25441.7019870921,12521.2839870918
Angle 45,25491.1994617751,12520.4094617749
Angle 45,25540.6969364582,12519.4369364579
Angle 45,25590.1944111413,12518.366411141
Angle 45,25639.6918858243,12517.1978858241
Angle 45,25689.1893605074,12515.9313605071
Angle 45,25738.6868351904,12514.5668351902
Angle 45,25788.1843098735,12513.1043098732
Angle 45,25837.6817845565,12511.5437845563
Angle 45,25887.1792592396,12509.8852592394
Angle 45,25936.6767339227,12508.1287339224
Angle 45,25986.1742086057,12506.2742086055
Angle 45,26035.6716832888,12504.3216832885
Angle 45,26085.1691579718,12502.2711579716
Angle 45,26134.6666326549,12500.1226326547
Angle 45,26184.164107338,12497.8761073377
Angle 45,26233.661582021,12495.5315820208
Angle 45,26283.1590567041,12493.0890567038
Angle 45,26332.6565313871,12490.5485313869
Angle 45,26382.1540060702,12487.9100060699
Angle 45,26431.6514807533,12485.173480753
Angle 45,26481.1489554363,12482.3389554361
Angle 45,26530.6464301194,12479.4064301191
Angle 45,26580.1439048024,12476.3759048022
Angle 45,26629.6413794855,12473.2473794852
Angle 45,26679.1388541686,12470.0208541683
Angle 45,26728.6363288516,12466.6963288513
Angle 45,26778.1338035347,12463.2738035344
Angle 45,26827.6312782177,12459.7532782175
Angle 45,26877.1287529008,12456.1347529005
Angle 45,26926.6262275839,12452.4182275836
Angle 45,26976.1237022669,12448.6037022666
Angle 45,27025.62117695,12444.6911769497
Angle 45,27075.118651633,12440.6806516327
Angle 45,27124.6161263161,12436.5721263158
Angle 45,27174.1136009992,12432.3656009989
Angle 45,27223.6110756822,12428.0610756819
Angle 45,27273.1085503653,12423.658550365
Angle 45,27322.6060250483,12419.158025048
Angle 45,27372.1034997314,12414.5594997311
Angle 45,27421.6009744145,12409.8629744142
Angle 45,27471.0984490975,12405.0684490972
Angle 45,27520.5959237806,12400.1759237803
Angle 45,27570.0933984636,12395.1853984633
Angle 45,27619.5908731467,12390.0968731464
Angle 45,27669.0883478297,12384.9103478294
Angle 45,27718.5858225128,12379.6258225125
Angle 45,27768.0832971959,12374.2432971956
Angle 45,27817.5807718789,12368.7627718786
Angle 45,27867.078246562,12363.1842465617
Angle 45,27916.575721245,12357.5077212447
Angle 45,27966.0731959281,12351.7331959278
Angle 45,28015.5706706112,12345.8606706109
Angle 45,28065.0681452942,12339.8901452939
Angle 45,28114.5656199773,12333.821619977
Angle 45,28164.0630946603,12327.65509466
Angle 45,28213.5605693434,12321.3905693431
Angle 45,28263.0580440265,12315.0280440261
Angle 45,28312.5555187095,12308.5675187092
Angle 45,28362.0529933926,12302.0089933923
Angle 45,28411.5504680756,12295.3524680753
Angle 45,28461.0479427587,12288.5979427584
Angle 45,28510.5454174418,12281.7454174414
Angle 45,28560.0428921248,12274.7948921245
Angle 45,28609.5403668079,12267.7463668076
Angle 45,28659.0378414909,12260.5998414906
Angle 45,28708.535316174,12253.3553161737
Angle 45,28758.0327908571,12246.0127908567
Angle 45,28807.5302655401,12238.5722655398
Angle 45,28857.0277402232,12231.0337402228
Angle 45,28906.5252149062,12223.3972149059
Angle 45,28956.0226895893,12215.662689589
Angle 45,29005.5201642724,12207.830164272
Angle 45,29055.0176389554,12199.8996389551
Angle 45,29104.5151136385,12191.8711136381
Angle 45,29154.0125883215,12183.7445883212
Angle 45,29203.5100630046,12175.5200630042
Angle 45,29253.0075376876,12167.1975376873
Angle 45,29302.5050123707,12158.7770123704
Angle 45,29352.0024870538,12150.2584870534
Angle 45,29401.4999617368,12141.6419617365
Angle 45,29450.9974364199,12132.9274364195
Angle 45,29500.4949111029,12124.1149111026
Angle 45,29549.992385786,12115.2043857856
Angle 45,29599.4898604691,12106.1958604687
Angle 45,29648.9873351521,12097.0893351518
Angle 45,29698.4848098352,12087.8848098348
Angle 45,29747.9822845182,12078.5822845179
Angle 45,29797.4797592013,12069.1817592009
Angle 45,29846.9772338844,12059.683233884
Angle 45,29896.4747085674,12050.0867085671
Angle 45,29945.9721832505,12040.3921832501
Angle 45,29995.4696579335,12030.5996579332
Angle 45,30044.9671326166,12020.7091326162
Angle 45,30094.4646072997,12010.7206072993
Angle 45,30143.9620819827,12000.6340819823
Angle 45,30193.4595566658,11990.4495566654
Angle 45,30242.9570313488,11980.1670313485
Angle 45,30292.4545060319,11969.7865060315
Angle 45,30341.951980715,11959.3079807146
Angle 45,30391.449455398,11948.7314553976
Angle 45,30440.9469300811,11938.0569300807
